ID;Título;Empresa;Localização;URL
"2026-03-31T21:51:47.396Z";"10956986";"Pessoa Desenvolvedora FullStack Junior";"Neogrid Carreiras";"Remoto";"https://neogridcarreiras.gupy.io/job/eyJqb2JJZCI6MTA5NTY5ODYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T21:31:33.313Z";"11075183";"[202601-1128] Analista Desenvolvedor Salesforce Sênior";"Confidencial";"Remoto";"https://xfckvnq.gupy.io/job/eyJqb2JJZCI6MTEwNzUxODMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T21:02:01.300Z";"11075178";"Desenvolvedor(a) Back-End Júnior | Pleno";"Cuponomia";"Remoto";"https://cuponomia.gupy.io/job/eyJqb2JJZCI6MTEwNzUxNzgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T20:41:44.430Z";"11075056";"Desenvolvedor Fullstack Sr. -  React/Node.Js";"Stefanini Group";"Remoto";"https://stefanini.gupy.io/job/eyJqb2JJZCI6MTEwNzUwNTYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T20:17:49.213Z";"11074895";"[202602-1170] Analista Desenvolvedor Salesforce Sênior";"Confidencial";"Remoto";"https://xfckvnq.gupy.io/job/eyJqb2JJZCI6MTEwNzQ4OTUsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T20:10:28.417Z";"11074500";"[202602-1169] Analista Desenvolvedor Salesforce Especialista";"Confidencial";"Remoto";"https://xfckvnq.gupy.io/job/eyJqb2JJZCI6MTEwNzQ1MDAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T19:21:22.179Z";"11074304";"[202602-1155] Analista Desenvolvedor Salesforce Pleno";"Confidencial";"Remoto";"https://xfckvnq.gupy.io/job/eyJqb2JJZCI6MTEwNzQzMDQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T19:03:04.154Z";"11050477";"PESSOA ESPECIALISTA DESENVOLVEDORA BACKEND";"YDUQS - Vagas Tech";"Remoto";"https://yduqstech.gupy.io/job/eyJqb2JJZCI6MTEwNTA0NzcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T18:59:03.890Z";"11073968";"Desenvolvedor Back-end Sênior ";"LBCA - Lee, Brock, Camargo Advogados";"Remoto";"https://lbca.gupy.io/job/eyJqb2JJZCI6MTEwNzM5NjgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"
"2026-03-31T18:38:09.839Z";"11056633";"PESSOA DESENVOLVEDORA BACKEND SÊNIOR ";"YDUQS - Vagas Tech";"Remoto";"https://yduqstech.gupy.io/job/eyJqb2JJZCI6MTEwNTY2MzMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal"